author,creation date,defect_rate,filenumber,genre,title
"Davenant, Sir William",1630,0.31,A19877,CO,The Just Italian 
"Davenant, William ",1640,,A19880,,Salmacida Spolia 
"Davenant, Sir William",1629,0.01,A19881,TR,"Albovine, King of the Lombards "
"Davenant, Sir William",1636,0.07,A19883,CO,The Wits 
"Davenport, Robert",1625,0.02,A19888,CO,A New Trick to Cheat the Devil 
"Day, John",1608,0.33,A19975,CO,Humor Out of Breath 
"Day, John",1606,0.1,A19976,CO,The Isle of Gulls 
"Day, John",1608,0.12,A19977,CO,Law Tricks 
"Day, John; Wilkins, George; Rowley, William",1607,0.01,A19978,CO,The Travels of the Three English Brothers 
"Dekker, Thomas",1628,,A20053,,Britannia's Honour
"Dekker, Thomas; Middleton, Thomas",1604,0.25,A20062,CO,1 The Honest Whore
"Dekker, Thomas",1605,0.03,A20065,CO,2 The Honest Whore
"Dekker, Thomas",1611,1.3,A20066,CO,"If It Be Not Good, the Devil Is in It"
"Dekker, Thomas",1599,0.04,A20076,CO,Old Fortunatus 
"Dekker, Thomas; Chettle, Henry; Haughton, William",1600,0.01,A20077,CO,Patient Grissel 
"Dekker, Thomas",1601,1.24,A20081,CO,"Satiromastix, or The Untrussing of the Humorous Poet "
"Dekker, Thomas",1599,0.02,A20083,CO,The Shoemaker's Holiday
"Dekker, Thomas",1611,0.01,A20088,CO,Match Me in London 
"Dekker, Thomas",1631,0.08,A20093,CO,The Wonder of A Kingdom 
"Dekker, Thomas; Webster, John",1602,1.33,A20096,HI,The Famous History of Sir Thomas Wyatt 
"Dekker, Thomas; Webster, John",1605,0.55,A20098,CO,Northward Ho 
"Dekker, Thomas; Webster, John",1604,0.58,A20100,CO,Westward Ho 
"Drue, Thomas",1631,0.68,A20866,HI,The Duchess of Suffolk 
"Marston, John",1600,0.03,A20867,CO,Jack Drum's Entertainment
anon.,1591,0.04,A20951,TR,Arden of Faversham 
anon.,1603,0.04,A21136,CO,The Merry Devil of Edmonton 
anon.,1596,0.14,A21144,HI,The Reign of King Edward the Third 
anon.,1575,,A21238,,The Queen's Entertainment at Woodstock 
anon.,1590,0.05,A21328,CO,Fair Em
"Armin, Robert",1608,0.08,A21411,CO,The Two Maids of More-Clacke 
"Beaumont, Francis; Fletcher, John",1647,,A27177_00,,Preface to 1647 edition of Beaumont and Fletcher
"Fletcher, John",1617,0.07,A27177_01,TC,The Mad Lover
"Fletcher, John; Massinger, Philip",1622,0.04,A27177_02,CO,The Spanish Curate
"Fletcher, John; Massinger, Philip",1619,0.06,A27177_03,CO,The Little French Lawyer
"Fletcher, John; Massinger, Philip",1620,0.07,A27177_04,CO,The Custom of the Country
"Fletcher, John; Beaumont, Francis (?)",1605,0.02,A27177_05,CO,The Noble Gentleman
"Fletcher, John; Beaumont, Francis (?)",1612,0.03,A27177_06,CO,The Captain
"Beaumont, Francis; Fletcher, John; Massinger, Philip",1622,0.04,A27177_07,CO,The Beggar's Bush
"Beaumont, Francis; Fletcher, John",1616,0.09,A27177_08,CO,The Coxcomb
"Fletcher, John; Massinger, Philip",1620,0.08,A27177_09,HI,The False One
"Fletcher, John",1617,0.0,A27177_10,CO,The Chances
"Fletcher, John",1618,0.01,A27177_11,TC,The Loyal Subject
"Ford, John",1619,0.05,A27177_12,TC,The Laws of Candy
"Fletcher, John; Massinger, Philip",1623,0.02,A27177_13,TC,The Wandering Lovers (The Lovers' Progress) (Cleander)
"Fletcher, John",1621,0.0,A27177_14,TC,The Island Princess
"Fletcher, John",1619,0.0,A27177_15,CO,"The Humorous Lieutenant (Generous Enemies, Demetrius and Enanthe)"
"Middleton, Thomas; Fletcher, John",1622,0.0,A27177_16,CO,"The Nice Valor, or The Passionate Madman"
"Fletcher, John; Rowley, William",1623,0.02,A27177_17,CO,The Maid in the Mill
"Fletcher, John; Massinger, Philip",1622,0.03,A27177_18,TC,The Prophetess
"Fletcher, John",1613,0.06,A27177_19,TR,Bonduca 
"Fletcher, John; Massinger, Philip",1613,0.01,A27177_20,CO,The Sea Voyage
"Fletcher, John; Massinger, Philip",1620,0.04,A27177_21,TR,The Double Marriage
"Fletcher, John",1621,0.02,A27177_22,CO,The Pilgrim
"Field, Nathan; Fletcher, John; Massinger, Philip",1618,0.01,A27177_23,TC,The Knight of Malta
"Fletcher, John",1611,0.02,A27177_24,CO,"The Woman's Prize, or The Tamer Tamed"
"Beaumont, Francis; Fletcher, John; Massinger, Philip",1606,0.02,A27177_25,CO,"Love's Cure, or The Martial Maid"
"Field, Nathan; Massinger, Philip; Fletcher, John",1613,0.04,A27177_26,TC,The Honest Man's Fortune
"Field, Nathan; Fletcher, John; Massinger, Philip",1617,0.01,A27177_27,TC,The Queen of Corinth
"Fletcher, John",1620,0.01,A27177_28,TC,Women Pleased
"Fletcher, John",1624,0.03,A27177_29,TC,A Wife for a Month
"Middleton, Thomas; Rowley, William",1613,0.06,A27177_30,CO,Wit at Several Weapons
"Fletcher, John",1614,0.0,A27177_31,TR,Valentinian
"Fletcher, John; Ford, John; Massinger, Philip; Webster, John (?)",1626,0.01,A27177_32,CO,The Fair Maid of the Inn
"Beaumont, Francis; Fletcher, John",1616,0.01,A27177_33,TC,Love's Pilgrimage
"Fletcher, John; Field, Nathan",1613,,A27177_35,,"Four Plays, or Moral Representations, in One"
"Fletcher, John",1621,0.0,A27203,CO,The Wild Goose Chase 
"Brathwait, Richard",1641,0.01,A29238,TC,"Mercurius Britannicus, or The English Intelligencer (The Censure of Judges, or The Court Cure) "
"Brome, Alexander",1638,0.04,A29620,CO,The Cunning Lovers 
"Brome, Richard",1638,,A29635,,The Damoiselle or The New Ordinary
"Brome, Richard",1641,0.01,A29637,CO,"A Jovial Crew, or The Merry Beggars "
"Brome, Richard",1657,0.03,A29644,CO,The Queen's Exchange (The Royal Exchange) 
"Burnell, Henry",1641,0.04,A30315,TC,Landgartha 
"Glapthorne, Henry",1640,0.71,A31672,TR,Revenge for Honor (The Parricide) 
anon.,1594,0.96,A31675,TR,"Alphonsus, King of Aragon "
"Denham, John",1642,0.01,A35657,TR,The Sophy 
"Day,  John",1611,,A37285,,The Parliament of Bees 
"Dekker, Thomas; Ford, John",1624,,A39898,,The Sun's Darling 
"Goffe, Thomas",1619,0.05,A41366,TC,The Careless Shepherdess 
anon.,1591,,A41993,,Mucedorus (and Amadine) 
"Heywood, Thomas; Rowley, William",1609,0.97,A43595,CO,Fortune by Land and Sea 
"Jonson, Ben",1616,0.25,A46228,CO,The Devil Is an Ass 
"Middleton, Thomas",1616,0.01,A46230,CO,The Widow 
"Killigrew, Thomas",1636,0.05,A47372_01,TC,The Princess
"Killigrew, Thomas",1641,0.02,A47372_02,CO,The Parson's Wedding
"Killigrew, Thomas",1636,0.05,A47372_10,TC,Claricilla
"Killigrew, Thomas",1635,0.05,A47372_11,TC,The Prisoners
"Dekker, Thomas; Haughton, William; Day, John",1600,0.88,A49479,TR,"Lust's Dominion, or The Lascivious Queen "
"Massinger, Philip",1632,0.05,A50090,CO,The City Madam 
"Middleton, Thomas; Rowley, William; Heywood, Thomas",1618,4.42,A50091,CO,"The Old Law, or A New Way to Please You "
"Massinger, Philip",1636,0.0,A50093_01,TC,The Bashful Lober
"Massinger, Philip",1633,0.0,A50093_02,CO,The Guardian
"Fletcher, John; Massinger, Philip",1636,0.0,A50093_03,TC,"A Very Woman, or The Prince of Tarent"
"Middleton, Thomas",1621,0.0,A50787,CO,Anything for a Quiet Life
"Middleton, Thomas; Rowley, William",1622,0.03,A50789,TR,The Changeling 
"Middleton, Thomas",1618,0.06,A50793,CO,The Mayor of Quinborough
"Middleton, Thomas",1615,0.01,A50799_01,CO,More Dissemblers Beside Women
"Middleton, Thomas",1621,0.01,A50799_02,TR,Women Beware Women
anon.,1641,0.2,A52953,CO,Canterbury His Change of Diet 
"Cavendish, Margaret",1662,,A53060_00,,Preface
"Cavendish, Margaret",1662,,A53060_01,,1 Love's Adventures
"Cavendish, Margaret",1662,,A53060_02,,2 Love's Adventures
"Cavendish, Margaret",1662,0.01,A53060_03,CO,Several Wits
"Cavendish, Margaret",1662,,A53060_04,,1 Youth's Glory and Death's Banquet
"Cavendish, Margaret",1662,,A53060_05,,2 Youth's Glory and Death's Banquet
"Cavendish, Margaret",1662,,A53060_06,,1 The Lady
"Cavendish, Margaret",1662,,A53060_07,,2 The Lady
"Cavendish, Margaret",1662,,A53060_08,,1 Wit's Cabal
"Cavendish, Margaret",1662,,A53060_09,,2 Wit's Cabal
"Cavendish, Margaret",1662,0.05,A53060_10,TR,The Unnatural Tragedy
"Cavendish, Margaret",1662,,A53060_11,,The Wooers
"Cavendish, Margaret",1662,0.07,A53060_12,CO,1 The Matrimonial Trouble
"Cavendish, Margaret",1662,0.06,A53060_13,TC,2 The Matrimonial Trouble
"Cavendish, Margaret",1662,,A53060_14,,1 Beauty Love and Wit
"Cavendish, Margaret",1662,,A53060_15,,2 Beauty Love and Wit
"Cavendish, Margaret",1662,,A53060_16,,The Religious
"Cavendish, Margaret",1662,0.03,A53060_17,CO,The Comical Hash
"Cavendish, Margaret",1662,,A53060_18,,1 Bell in Campo
"Cavendish, Margaret",1662,,A53060_19,,2 Bell in Campo
"Cavendish, Margaret",1662,0.07,A53060_20,CO,A Comedy of the Apocryphal Ladies
"Cavendish, Margaret",1662,,A53060_21,,The Female Academy
"Cavendish, William; Shirley, James",1640,0.24,A53070_01,CO,The Country Captain
"Cavendish, William",1641,0.12,A53070_02,CO,The Variety
"Ford, John",1628,0.46,A56872,TC,The Queen
"Rowley, William",1608,0.56,A57763,TC,The birth of Merlin
"Dekker, Thomas; Rowley, William; Ford, John",1621,0.09,A57764,TC,The Witch of Edmonton 
"Shirley, James",1639,0.04,A59979,CO,The Gentleman of Venice 
"Shirley, James",1639,0.01,A59990,TR,The Politician 
"Shirley, James",1640,0.45,A59992_04,TC,The Impostor
"Shirley, James",1642,0.28,A59992_06,TC,The Court Secret
"Suckling, Sir John",1642,0.99,A61942,TR,"Brennoralt, or The Discontented Colonel "
"Webster, John; Rowley, William",1599,0.02,A62477,CO,The Thracian Wonder
"Tomkis, Thomas",1657,0.07,A62894,CO,"Lingua, or The Combat of the Tongue and the Five Senses for Superiority "
"Webster, John",1624,0.67,A65360,TR,Appius and Virginia
"Greene, Robert",1591,2.53,A68114,TR,The Tragical Reign of Selimus
anon.,1601,0.0,A68191,HI,The Trial of Chivalry (This Gallant Cavaliero Dick Bowyer) 
"Middleton, Thomas",1607,0.74,A68468,CO,Your Five Gallants
"Richards, Nathaniel",1640,0.92,A68655,TR,"Messalina, the Roman Empress "
"S., S.",1616,0.01,A68683,CO,The Honest Lawyer 
"Woodes, Nathaniel",1572,0.36,A68918,CO,The Conflict of Conscience 
"Chapman, George",1605,0.37,A69093,CO,Monsieur D'Olive 
"Peele, George",1599,0.34,A69121,HI,Clyomon and Clamydes 
"Hausted, Peter",1632,0.1,A72254,CO,The Rival Friends 
anon.,1595,0.08,A73627,TR,Caesar and Pompey
"Carew, Thomas",1634,,A73704,,Coelum Britannicum 
"Brome, Richard",1632,0.22,A77565_01,CO,A Mad Couple Well Matched
"Brome, Richard",1639,0.37,A77565_02,CO,The Novella
"Brome, Richard",1637,0.2,A77565_04,CO,"The City Wit, or The Woman Wears the Breeches"
"Brome, Richard",1632,0.21,A77567_01,CO,"The English Moor, or The Mock Marriage"
"Brome, Richard",1635,0.11,A77567_02,TC,"The Lovesick Court, or The Ambitious Politic"
"Brome, Richard",1635,0.12,A77567_03,CO,"The Weeding of the Covent Garden, or The Middlesex Justice of Peace"
"Brome, Richard",1659,0.23,A77567_04,CO,The New Academy or The New Exchange
"Brome, Richard",1659,0.04,A77567_05,TC,The Queen and Concubine
"Goffe, Thomas",1656,0.04,A85334_01,TR,"The Raging Turk, or Bajazet the Second"
"Goffe, Thomas",1619,0.02,A85334_02,TR,The Courageous Turk
"Shirley, James",1652,0.11,A93166,CO,The Brothers
"Shirley, James",1641,0.07,A93167,TR,The Cardinal 
"Shirley, James",1638,0.11,A93170,TC,The Doubtful Heir 
"Shirley, James",1642,0.09,A93178,CO,The Sisters 
"Shirley, James",1633,,B07101,,The Triumph of Peace 
